TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2016,11,15,14,30,29XX W 31ST AVE,Dunbar-Southlands,487516.1816,5454623.6382
Break and Enter Commercial,2011,7,11,21,0,29XX W 31ST AVE,Dunbar-Southlands,487579.6067,5454613.6843
Break and Enter Commercial,2006,4,25,21,54,29XX W 33RD AVE,Dunbar-Southlands,487585.2638,5454405.0823
Break and Enter Commercial,2011,9,8,7,0,29XX W 33RD AVE,Dunbar-Southlands,487585.2638,5454405.0823
Break and Enter Commercial,2010,12,2,7,54,29XX W 38TH AVE,Dunbar-Southlands,487435.4586,5453876.4766
Break and Enter Commercial,2012,9,18,4,33,30XX W 29TH AVE,Dunbar-Southlands,487400.7623,5454826.1472
Break and Enter Commercial,2011,5,26,18,0,31XX W 33RD AVE,Dunbar-Southlands,487223.1799,5454407.9409
Break and Enter Commercial,2011,8,14,23,30,31XX W 34TH AVE,Dunbar-Southlands,487300.9812,5454307.9049
Break and Enter Commercial,2006,6,13,19,0,32XX DUNBAR ST,Dunbar-Southlands,486524.8929,5456098.5485
Break and Enter Commercial,2007,4,19,14,0,32XX DUNBAR ST,Dunbar-Southlands,486524.8929,5456098.5485
Break and Enter Commercial,2008,7,14,4,10,32XX DUNBAR ST,Dunbar-Southlands,486524.8929,5456098.5485
Break and Enter Commercial,2006,11,6,4,57,32XX DUNBAR ST,Dunbar-Southlands,486525.1498,5456128.1659
Break and Enter Commercial,2006,12,7,4,26,32XX DUNBAR ST,Dunbar-Southlands,486525.1498,5456128.1659
Break and Enter Commercial,2018,6,5,8,11,32XX DUNBAR ST,Dunbar-Southlands,486534.2206,5456119.6618
Break and Enter Commercial,2018,7,1,3,12,32XX DUNBAR ST,Dunbar-Southlands,486534.2206,5456119.6618
Break and Enter Commercial,2009,6,20,9,58,32XX DUNBAR ST,Dunbar-Southlands,486534.2935,5456128.0865
Break and Enter Commercial,2014,6,19,3,50,32XX DUNBAR ST,Dunbar-Southlands,486534.2935,5456128.0865
Break and Enter Commercial,2016,4,9,6,0,32XX W 24TH AVE,Dunbar-Southlands,487165.9424,5455380.7598
Break and Enter Commercial,2006,2,27,2,51,33XX DUNBAR ST,Dunbar-Southlands,486524.5392,5456034.0093
Break and Enter Commercial,2018,2,1,10,0,33XX DUNBAR ST,Dunbar-Southlands,486524.5392,5456034.0093
Break and Enter Commercial,2007,4,26,3,3,33XX DUNBAR ST,Dunbar-Southlands,486524.7045,5456071.7391
Break and Enter Commercial,2008,7,14,4,13,33XX DUNBAR ST,Dunbar-Southlands,486524.7045,5456071.7391
Break and Enter Commercial,2008,7,14,4,13,33XX DUNBAR ST,Dunbar-Southlands,486533.5571,5456005.2226
Break and Enter Commercial,2004,12,15,19,30,33XX DUNBAR ST,Dunbar-Southlands,486533.6201,5456019.5959
Break and Enter Commercial,2003,6,2,5,14,33XX DUNBAR ST,Dunbar-Southlands,486533.6674,5456030.3759
