TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,2,23,23,0,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,2,25,10,15,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,4,30,22,45,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2018,2,2,17,0,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2019,6,16,9,3,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2021,2,15,17,19,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2021,12,16,5,33,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2021,12,26,4,10,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2022,4,5,22,18,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2014,11,28,12,0,10XX RICHELIEU AVE,Shaughnessy,490712.6246,5455929.0356
Break and Enter Commercial,2020,4,14,14,35,10XX W 41ST AVE,Shaughnessy,490584.9335,5453485.905
Break and Enter Commercial,2022,3,27,5,33,10XX W KING EDWARD AVE,Shaughnessy,490656.6077,5455187.0869
Break and Enter Commercial,2003,8,26,16,30,10XX W KING EDWARD AVE,Shaughnessy,490659.6672,5455187.064
Break and Enter Commercial,2010,1,28,3,16,10XX W KING EDWARD AVE,Shaughnessy,490671.9049,5455186.9721
Break and Enter Commercial,2016,2,3,5,17,10XX W KING EDWARD AVE,Shaughnessy,490671.9049,5455186.9721
Break and Enter Commercial,2007,5,9,7,0,10XX W KING EDWARD AVE,Shaughnessy,490690.2616,5455186.8343
Break and Enter Commercial,2004,5,20,0,0,10XX W KING EDWARD AVE,Shaughnessy,490696.3805,5455186.7883
Break and Enter Commercial,2005,5,6,0,0,10XX W KING EDWARD AVE,Shaughnessy,490696.3805,5455186.7883
Break and Enter Commercial,2008,8,10,9,0,10XX W KING EDWARD AVE,Shaughnessy,490696.3805,5455186.7883
Break and Enter Commercial,2008,5,4,2,49,10XX W KING EDWARD AVE,Shaughnessy,490696.5731,5455155.4751
Break and Enter Commercial,2008,12,23,1,57,10XX W KING EDWARD AVE,Shaughnessy,490696.5731,5455155.4751
Break and Enter Commercial,2003,5,25,3,0,10XX W KING EDWARD AVE,Shaughnessy,490702.4994,5455186.7424
Break and Enter Commercial,2008,8,25,1,15,10XX W KING EDWARD AVE,Shaughnessy,490702.4994,5455186.7424
Break and Enter Commercial,2005,2,24,4,51,10XX WOLFE AVE,Shaughnessy,490676.1983,5455587.5343
Break and Enter Commercial,2013,5,12,12,0,10XX WOLFE AVE,Shaughnessy,490676.1983,5455587.5343
Break and Enter Commercial,2013,12,26,22,0,10XX WOLFE AVE,Shaughnessy,490676.1983,5455587.5343
Break and Enter Commercial,2010,3,31,20,0,10XX WOLFE AVE,Shaughnessy,490706.8099,5455544.4473
Break and Enter Commercial,2014,11,27,16,15,10XX WOLFE AVE,Shaughnessy,490706.8099,5455544.4473
Break and Enter Commercial,2014,11,29,16,0,10XX WOLFE AVE,Shaughnessy,490706.8099,5455544.4473
Break and Enter Commercial,2021,5,7,11,9,12XX TECUMSEH AVE,Shaughnessy,490368.8901,5456040.2137
Break and Enter Commercial,2018,10,11,19,0,12XX W 37TH AVE,Shaughnessy,490250.6569,5453900.471
Break and Enter Commercial,2022,3,26,15,0,12XX W 38TH AVE,Shaughnessy,490350.0685,5453802.1752
Break and Enter Commercial,2012,9,13,17,0,13XX MINTO CRES,Shaughnessy,490139.7993,5454454.8674
Break and Enter Commercial,2005,6,19,12,32,13XX W 15TH AVE,Shaughnessy,490246.1387,5456126.4774
